512, 8, 0.173433, 126921, 127112, 0.998497388130153, 111.703
512, 16, 0.173534, 124635, 127127, 0.9803975552007048, 113.494
512, 32, 0.173669, 86697, 127102, 0.682105710374345, 162.648
512, 64, 0.174108, 82190, 127068, 0.646819026033305, 169.839
512, 128, 0.175091, 81278, 127092, 0.6395209769300979, 168.573
1024, 8, 0.173519, 126647, 127140, 0.9961223847726915, 111.737
1024, 16, 0.173669, 83507, 127165, 0.6566822632013526, 168.849
1024, 32, 0.174031, 80832, 127167, 0.6356366038359008, 172.884
1024, 64, 0.174989, 80011, 127085, 0.6295864972262659, 171.399
1024, 128, 0.177496, 79329, 127105, 0.6241217890720271, 166.727
2048, 8, 0.173722, 92059, 127090, 0.7243606892753167, 153.023
2048, 16, 0.174109, 80204, 127184, 0.6306139136998364, 174.004
2048, 32, 0.17494, 79279, 127181, 0.6233556899222368, 173.102
2048, 64, 0.177379, 78669, 127068, 0.6191094532061573, 168.426
2048, 128, 0.177809, 78598, 127142, 0.6181906844315804, 167.715
4096, 8, 0.174062, 80196, 127077, 0.6310819424443448, 174.226
4096, 16, 0.174992, 78946, 127112, 0.6210743281515514, 173.743
4096, 32, 0.177362, 78293, 127145, 0.6157772621809745, 169.253
4096, 64, 0.177825, 78283, 127083, 0.6159989927842434, 168.327
4096, 128, 0.177858, 78253, 127104, 0.6156611908358509, 168.355
8192, 8, 0.17499, 78832, 127106, 0.6202067565653864, 174.056
8192, 16, 0.17717, 78148, 127144, 0.6146416661423268, 169.969
8192, 32, 0.177859, 78083, 127131, 0.6141932337510128, 168.724
8192, 64, 0.177853, 78101, 127176, 0.6141174435428068, 168.644
8192, 128, 0.177794, 78082, 127126, 0.6142095244088542, 168.837
